	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
0	feeling	4	0.00039541320680110717	1	0.000192789666473877
1	greatest	2	0.00019770660340055358	2	0.000385579332947754
2	flipping	2	0.00019770660340055358	1	0.000192789666473877
3	way	10	0.0009885330170027679	6	0.001156737998843262
4	posters	2	0.00019770660340055358	1	0.000192789666473877
5	cost	3	0.0002965599051008304	1	0.000192789666473877
6	real.	2	0.00019770660340055358	1	0.000192789666473877
7	unpleasant	1	9.885330170027679e-05	2	0.000385579332947754
8	ma	2	0.00019770660340055358	1	0.000192789666473877
9	hope	2	0.00019770660340055358	1	0.000192789666473877
10	meanwhile	3	0.0002965599051008304	2	0.000385579332947754
11	multiple	1	9.885330170027679e-05	2	0.000385579332947754
12	machine	2	0.00019770660340055358	1	0.000192789666473877
13	blackout	2	0.00019770660340055358	1	0.000192789666473877
14	punch	2	0.00019770660340055358	2	0.000385579332947754
15	minutes	2	0.00019770660340055358	1	0.000192789666473877
16	feature	3	0.0002965599051008304	1	0.000192789666473877
17	demi	2	0.00019770660340055358	1	0.000192789666473877
18	joeys	2	0.00019770660340055358	1	0.000192789666473877
19	address	2	0.00019770660340055358	1	0.000192789666473877
20	loves	4	0.00039541320680110717	1	0.000192789666473877
21	indeed.	1	9.885330170027679e-05	2	0.000385579332947754
22	older	3	0.0002965599051008304	2	0.000385579332947754
23	sketching	1	9.885330170027679e-05	2	0.000385579332947754
24	lisa	3	0.0002965599051008304	1	0.000192789666473877
25	coma	2	0.00019770660340055358	1	0.000192789666473877
26	rachel.	2	0.00019770660340055358	1	0.000192789666473877
27	artificial	2	0.00019770660340055358	1	0.000192789666473877
28	carried	2	0.00019770660340055358	1	0.000192789666473877
29	player	2	0.00019770660340055358	1	0.000192789666473877
30	practice	2	0.00019770660340055358	1	0.000192789666473877
31	pumping	2	0.00019770660340055358	1	0.000192789666473877
32	reacted	2	0.00019770660340055358	1	0.000192789666473877
33	simple	2	0.00019770660340055358	1	0.000192789666473877
34	clearly	2	0.00019770660340055358	1	0.000192789666473877
35	able	2	0.00019770660340055358	2	0.000385579332947754
36	then	15	0.0014827995255041518	9	0.001735106998264893
37	accepts	2	0.00019770660340055358	1	0.000192789666473877
38	bestseller	2	0.00019770660340055358	1	0.000192789666473877
39	gaudy	2	0.00019770660340055358	1	0.000192789666473877
40	script	5	0.0004942665085013839	3	0.000578368999421631
41	ridiculously	1	9.885330170027679e-05	3	0.000578368999421631
42	nobody	2	0.00019770660340055358	1	0.000192789666473877
43	'characters	2	0.00019770660340055358	1	0.000192789666473877
44	leaves	6	0.0005931198102016608	1	0.000192789666473877
45	control	3	0.0002965599051008304	1	0.000192789666473877
46	again	12	0.0011862396204033216	5	0.000963948332369385
47	weak	1	9.885330170027679e-05	3	0.000578368999421631
48	apartments	2	0.00019770660340055358	1	0.000192789666473877
49	exiting	2	0.00019770660340055358	1	0.000192789666473877
50	....	4	0.00039541320680110717	1	0.000192789666473877
51	judging	2	0.00019770660340055358	1	0.000192789666473877
52	hoot	2	0.00019770660340055358	1	0.000192789666473877
53	win.	2	0.00019770660340055358	1	0.000192789666473877
54	sorry	1	9.885330170027679e-05	2	0.000385579332947754
55	anti-rewarding	2	0.00019770660340055358	1	0.000192789666473877
56	versatile	1	9.885330170027679e-05	3	0.000578368999421631
57	scenes	9	0.0008896797153024911	2	0.000385579332947754
58	your	10	0.0009885330170027679	4	0.000771158665895508
59	site	2	0.00019770660340055358	1	0.000192789666473877
60	blast	2	0.00019770660340055358	1	0.000192789666473877
61	farcical	1	9.885330170027679e-05	2	0.000385579332947754
62	confront	3	0.0002965599051008304	1	0.000192789666473877
63	group	6	0.0005931198102016608	2	0.000385579332947754
64	very	21	0.0020759193357058124	15	0.002891844997108155
65	will	7	0.0006919731119019375	5	0.000963948332369385
