	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
0	feeling	4.6	0.00039500575334466825	1.6	0.00023822285748317554
1	greatest	2.6	0.00022326412145568208	2.6	0.0003871121434101602
2	flipping	2.6	0.00022326412145568208	1.6	0.00023822285748317554
3	way	10.6	0.0009102306490116269	6.6	0.000982669287118099
4	posters	2.6	0.00022326412145568208	1.6	0.00023822285748317554
5	cost	3.6	0.0003091349374001752	1.6	0.00023822285748317554
6	real.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
7	unpleasant	1.6	0.00013739330551118897	2.6	0.0003871121434101602
8	ma	2.6	0.00022326412145568208	1.6	0.00023822285748317554
9	hope	2.6	0.00022326412145568208	1.6	0.00023822285748317554
10	meanwhile	3.6	0.0003091349374001752	2.6	0.0003871121434101602
11	multiple	1.6	0.00013739330551118897	2.6	0.0003871121434101602
12	machine	2.6	0.00022326412145568208	1.6	0.00023822285748317554
13	blackout	2.6	0.00022326412145568208	1.6	0.00023822285748317554
14	punch	2.6	0.00022326412145568208	2.6	0.0003871121434101602
15	minutes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
16	feature	3.6	0.0003091349374001752	1.6	0.00023822285748317554
17	demi	2.6	0.00022326412145568208	1.6	0.00023822285748317554
18	joeys	2.6	0.00022326412145568208	1.6	0.00023822285748317554
19	address	2.6	0.00022326412145568208	1.6	0.00023822285748317554
20	loves	4.6	0.00039500575334466825	1.6	0.00023822285748317554
21	indeed.	1.6	0.00013739330551118897	2.6	0.0003871121434101602
22	older	3.6	0.0003091349374001752	2.6	0.0003871121434101602
23	sketching	1.6	0.00013739330551118897	2.6	0.0003871121434101602
24	lisa	3.6	0.0003091349374001752	1.6	0.00023822285748317554
25	coma	2.6	0.00022326412145568208	1.6	0.00023822285748317554
26	rachel.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
27	artificial	2.6	0.00022326412145568208	1.6	0.00023822285748317554
28	carried	2.6	0.00022326412145568208	1.6	0.00023822285748317554
29	player	2.6	0.00022326412145568208	1.6	0.00023822285748317554
30	practice	2.6	0.00022326412145568208	1.6	0.00023822285748317554
31	pumping	2.6	0.00022326412145568208	1.6	0.00023822285748317554
32	reacted	2.6	0.00022326412145568208	1.6	0.00023822285748317554
33	simple	2.6	0.00022326412145568208	1.6	0.00023822285748317554
34	clearly	2.6	0.00022326412145568208	1.6	0.00023822285748317554
35	able	2.6	0.00022326412145568208	2.6	0.0003871121434101602
36	then	15.6	0.0013395847287340924	9.6	0.0014293371448990532
37	accepts	2.6	0.00022326412145568208	1.6	0.00023822285748317554
38	bestseller	2.6	0.00022326412145568208	1.6	0.00023822285748317554
39	gaudy	2.6	0.00022326412145568208	1.6	0.00023822285748317554
40	script	5.6	0.00048087656928916137	3.6	0.000536001429337145
41	ridiculously	1.6	0.00013739330551118897	3.6	0.000536001429337145
42	nobody	2.6	0.00022326412145568208	1.6	0.00023822285748317554
43	'characters	2.6	0.00022326412145568208	1.6	0.00023822285748317554
44	leaves	6.6	0.0005667473852336545	1.6	0.00023822285748317554
45	control	3.6	0.0003091349374001752	1.6	0.00023822285748317554
46	again	12.6	0.0010819722809006132	5.6	0.0008337800011911143
47	weak	1.6	0.00013739330551118897	3.6	0.000536001429337145
48	apartments	2.6	0.00022326412145568208	1.6	0.00023822285748317554
49	exiting	2.6	0.00022326412145568208	1.6	0.00023822285748317554
50	....	4.6	0.00039500575334466825	1.6	0.00023822285748317554
51	judging	2.6	0.00022326412145568208	1.6	0.00023822285748317554
52	hoot	2.6	0.00022326412145568208	1.6	0.00023822285748317554
53	win.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
54	sorry	1.6	0.00013739330551118897	2.6	0.0003871121434101602
55	anti-rewarding	2.6	0.00022326412145568208	1.6	0.00023822285748317554
56	versatile	1.6	0.00013739330551118897	3.6	0.000536001429337145
57	scenes	9.6	0.0008243598330671338	2.6	0.0003871121434101602
58	your	10.6	0.0009102306490116269	4.6	0.0006848907152641296
59	site	2.6	0.00022326412145568208	1.6	0.00023822285748317554
60	blast	2.6	0.00022326412145568208	1.6	0.00023822285748317554
61	farcical	1.6	0.00013739330551118897	2.6	0.0003871121434101602
62	confront	3.6	0.0003091349374001752	1.6	0.00023822285748317554
63	group	6.6	0.0005667473852336545	2.6	0.0003871121434101602
64	very	21.6	0.0018548096244010513	15.6	0.002322672860460961
65	will	7.6	0.0006526182011781476	5.6	0.0008337800011911143
66	yell	1.6	0.00013739330551118897	2.6	0.0003871121434101602
67	next	6.6	0.0005667473852336545	3.6	0.000536001429337145
68	strauss	2.6	0.00022326412145568208	1.6	0.00023822285748317554
69	visits	2.6	0.00022326412145568208	1.6	0.00023822285748317554
70	russ	1.6	0.00013739330551118897	4.6	0.0006848907152641296
71	responsibility	1.6	0.00013739330551118897	2.6	0.0003871121434101602
72	try	6.6	0.0005667473852336545	1.6	0.00023822285748317554
73	myth.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
74	worst	5.6	0.00048087656928916137	2.6	0.0003871121434101602
75	standing	3.6	0.0003091349374001752	1.6	0.00023822285748317554
76	competent	2.6	0.00022326412145568208	1.6	0.00023822285748317554
77	insinuate	1.6	0.00013739330551118897	2.6	0.0003871121434101602
78	dream	4.6	0.00039500575334466825	1.6	0.00023822285748317554
79	there.	3.6	0.0003091349374001752	1.6	0.00023822285748317554
80	attempts	2.6	0.00022326412145568208	1.6	0.00023822285748317554
81	highlight	3.6	0.0003091349374001752	1.6	0.00023822285748317554
82	tells	13.6	0.0011678430968451062	7.6	0.0011315585730450838
83	know	16.6	0.0014254555446785856	6.6	0.000982669287118099
84	endearing	1.6	0.00013739330551118897	2.6	0.0003871121434101602
85	running	1.6	0.00013739330551118897	2.6	0.0003871121434101602
86	freaks	4.6	0.00039500575334466825	1.6	0.00023822285748317554
87	one	21.6	0.0018548096244010513	3.6	0.000536001429337145
88	comment	1.6	0.00013739330551118897	4.6	0.0006848907152641296
89	take.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
90	offering	2.6	0.00022326412145568208	1.6	0.00023822285748317554
91	frighteningly	2.6	0.00022326412145568208	1.6	0.00023822285748317554
92	slightly	3.6	0.0003091349374001752	1.6	0.00023822285748317554
93	each-other	2.6	0.00022326412145568208	1.6	0.00023822285748317554
94	whom	3.6	0.0003091349374001752	1.6	0.00023822285748317554
95	singing	2.6	0.00022326412145568208	1.6	0.00023822285748317554
96	did.	3.6	0.0003091349374001752	1.6	0.00023822285748317554
97	themselves	2.6	0.00022326412145568208	2.6	0.0003871121434101602
98	a	4.6	0.00039500575334466825	1.6	0.00023822285748317554
99	monkey	8.6	0.0007384890171226407	2.6	0.0003871121434101602
100	hearing	3.6	0.0003091349374001752	1.6	0.00023822285748317554
101	psychologist	2.6	0.00022326412145568208	1.6	0.00023822285748317554
102	stride	3.6	0.0003091349374001752	1.6	0.00023822285748317554
103	principals	2.6	0.00022326412145568208	1.6	0.00023822285748317554
104	ok	2.6	0.00022326412145568208	2.6	0.0003871121434101602
105	delve	2.6	0.00022326412145568208	1.6	0.00023822285748317554
106	girls	12.6	0.0010819722809006132	2.6	0.0003871121434101602
107	relate	2.6	0.00022326412145568208	1.6	0.00023822285748317554
108	insecurity	2.6	0.00022326412145568208	1.6	0.00023822285748317554
109	near	2.6	0.00022326412145568208	1.6	0.00023822285748317554
110	favorite	6.6	0.0005667473852336545	4.6	0.0006848907152641296
111	ensemble	2.6	0.00022326412145568208	1.6	0.00023822285748317554
112	dumps	1.6	0.00013739330551118897	3.6	0.000536001429337145
113	record	3.6	0.0003091349374001752	1.6	0.00023822285748317554
114	canada	1.6	0.00013739330551118897	2.6	0.0003871121434101602
115	hear	3.6	0.0003091349374001752	1.6	0.00023822285748317554
116	triangle	2.6	0.00022326412145568208	2.6	0.0003871121434101602
117	pain	3.6	0.0003091349374001752	1.6	0.00023822285748317554
118	coupling	1.6	0.00013739330551118897	2.6	0.0003871121434101602
119	guest	3.6	0.0003091349374001752	2.6	0.0003871121434101602
120	screenplay	1.6	0.00013739330551118897	2.6	0.0003871121434101602
121	am	2.6	0.00022326412145568208	3.6	0.000536001429337145
122	side	5.6	0.00048087656928916137	2.6	0.0003871121434101602
123	kept	2.6	0.00022326412145568208	2.6	0.0003871121434101602
124	inconsistency	2.6	0.00022326412145568208	1.6	0.00023822285748317554
125	courtney	2.6	0.00022326412145568208	2.6	0.0003871121434101602
126	judy/jack	2.6	0.00022326412145568208	1.6	0.00023822285748317554
127	fourth	1.6	0.00013739330551118897	2.6	0.0003871121434101602
128	s	2.6	0.00022326412145568208	1.6	0.00023822285748317554
129	each-others	2.6	0.00022326412145568208	1.6	0.00023822285748317554
130	here.	4.6	0.00039500575334466825	2.6	0.0003871121434101602
131	flirt	2.6	0.00022326412145568208	1.6	0.00023822285748317554
132	dudley	2.6	0.00022326412145568208	1.6	0.00023822285748317554
133	chemistry	4.6	0.00039500575334466825	3.6	0.000536001429337145
134	eager	2.6	0.00022326412145568208	1.6	0.00023822285748317554
135	night	3.6	0.0003091349374001752	1.6	0.00023822285748317554
136	porn	1.6	0.00013739330551118897	3.6	0.000536001429337145
137	manages	2.6	0.00022326412145568208	2.6	0.0003871121434101602
138	kisses	4.6	0.00039500575334466825	1.6	0.00023822285748317554
139	guys	4.6	0.00039500575334466825	1.6	0.00023822285748317554
140	dvd	2.6	0.00022326412145568208	1.6	0.00023822285748317554
141	job	18.6	0.0015971971765675718	3.6	0.000536001429337145
142	incident	3.6	0.0003091349374001752	1.6	0.00023822285748317554
143	addition	2.6	0.00022326412145568208	1.6	0.00023822285748317554
144	hombre	2.6	0.00022326412145568208	1.6	0.00023822285748317554
145	scornful	2.6	0.00022326412145568208	1.6	0.00023822285748317554
146	divides	3.6	0.0003091349374001752	1.6	0.00023822285748317554
147	abusing	2.6	0.00022326412145568208	1.6	0.00023822285748317554
148	parties	3.6	0.0003091349374001752	2.6	0.0003871121434101602
149	hates	5.6	0.00048087656928916137	2.6	0.0003871121434101602
150	compete	2.6	0.00022326412145568208	1.6	0.00023822285748317554
151	finale	2.6	0.00022326412145568208	1.6	0.00023822285748317554
152	something	4.6	0.00039500575334466825	2.6	0.0003871121434101602
153	assistant	2.6	0.00022326412145568208	1.6	0.00023822285748317554
154	gentleman	2.6	0.00022326412145568208	1.6	0.00023822285748317554
155	'day	2.6	0.00022326412145568208	1.6	0.00023822285748317554
156	.......	2.6	0.00022326412145568208	1.6	0.00023822285748317554
157	octogenarian	2.6	0.00022326412145568208	1.6	0.00023822285748317554
158	football.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
159	fake	2.6	0.00022326412145568208	1.6	0.00023822285748317554
160	middle	2.6	0.00022326412145568208	1.6	0.00023822285748317554
161	wear	3.6	0.0003091349374001752	1.6	0.00023822285748317554
162	based	1.6	0.00013739330551118897	4.6	0.0006848907152641296
163	much	23.6	0.0020265512562900375	5.6	0.0008337800011911143
164	realised	2.6	0.00022326412145568208	1.6	0.00023822285748317554
165	deliveryman.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
166	family	5.6	0.00048087656928916137	1.6	0.00023822285748317554
167	involved	1.6	0.00013739330551118897	2.6	0.0003871121434101602
168	first	32.6	0.0027993885997904754	9.6	0.0014293371448990532
169	buffoon	1.6	0.00013739330551118897	2.6	0.0003871121434101602
170	final	2.6	0.00022326412145568208	1.6	0.00023822285748317554
171	voice	1.6	0.00013739330551118897	2.6	0.0003871121434101602
172	him	46.6	0.004001580023013379	8.6	0.0012804478589720685
173	stomach	2.6	0.00022326412145568208	1.6	0.00023822285748317554
174	eats	2.6	0.00022326412145568208	1.6	0.00023822285748317554
175	arena	2.6	0.00022326412145568208	1.6	0.00023822285748317554
176	biting	1.6	0.00013739330551118897	2.6	0.0003871121434101602
177	tighter	1.6	0.00013739330551118897	2.6	0.0003871121434101602
178	contains	3.6	0.0003091349374001752	1.6	0.00023822285748317554
179	nicknamed	2.6	0.00022326412145568208	1.6	0.00023822285748317554
180	ground	2.6	0.00022326412145568208	1.6	0.00023822285748317554
181	breakup	4.6	0.00039500575334466825	1.6	0.00023822285748317554
182	impact	3.6	0.0003091349374001752	3.6	0.000536001429337145
183	losing	2.6	0.00022326412145568208	1.6	0.00023822285748317554
184	brutally	2.6	0.00022326412145568208	1.6	0.00023822285748317554
185	ms	1.6	0.00013739330551118897	2.6	0.0003871121434101602
186	outdoes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
187	undoubtedly	3.6	0.0003091349374001752	1.6	0.00023822285748317554
188	quote	2.6	0.00022326412145568208	1.6	0.00023822285748317554
189	her.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
190	bit	17.6	0.0015113263606230788	5.6	0.0008337800011911143
191	princess	2.6	0.00022326412145568208	1.6	0.00023822285748317554
192	humble	1.6	0.00013739330551118897	2.6	0.0003871121434101602
193	wish	1.6	0.00013739330551118897	2.6	0.0003871121434101602
